data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
21,26-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 26 February 2021 (as reported), in Tlaquepaque, Jalisco, a person was killed and his/her body was found wrapped in bags in Colonia La Micaelita. 1 fatality.",1,1614639876
103,24-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"Around 24 February 2021 (as reported), in Tonala, Jalisco, a man was shot dead by two armed individuals in Colonia Altamira. 1 fatality.",1,1614639876
104,24-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 24 February 2021 (as reported), in Tlaquepaque, Jalisco, a man was shot dead by several armed individuals in Colonia Duraznera. 1 fatality.",1,1614639876
108,24-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 24 February 2021, in Guadalajara, Jalisco, a group of taxi drivers demonstrated in front of the Government Palace to demand the instatement of fair fares, in light of app drivers who do not have to pay licenses and permits. [size=no report]",0,1614639876
170,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco; Milenio,"On 22 February 2021, in Guadalajara, Jalisco, at least 50 municipal and state police officers protested to the adoption of a bill decreasing retiring age. They also demanded improvements to social security benefits. [size=at least 50]",0,1614639875
176,22-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Metro Gdl,"On 22 February 2021, in Zapopan, Jalisco, a man was shot dead by two armed men in Colonia Mesa Colorada Poniente. 1 fatality.",1,1614639876
182,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 22 February 2021, in Guadalajara, Jalisco, taxi drivers started a hunger strike outside the Guadalajara Government Palace to protest against transport network platforms such as Uber, DIDI, pirate taxis and motorcycle taxis. They ended their hunger strike the next day. [size=no report]",0,1614639876
222,21-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 21 February 2021, in Guadalajara, Jalisco, more than 20 family and friends of a young woman reported since 8 January gathered to protest and demand additional efforts and resources to find her. [size=more than 20]",0,1614639876
277,19-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Entorno Informativo,"On 19 February 2021, in Tlaquepaque, Jalisco, five people were shot and killed inside a house in Colonia Guayabitos. According to the police, the house was a place where people consumed drugs and alcoholic drinks. 5 fatalities.",5,1614024988
289,19-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio; Metro Gdl,"Around 19 February 2021 (as reported), in Zapopan municipality, Jalisco, a man was killed and his body was found with gunshot wounds, his hands tied and covered with blankets inside a car on the highway to Saltillo. The victim worked at the Local Conciliation and Arbitration Board. 1 fatality.",1,1614639875
361,18-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Prensa de Monclova,"On 18 February 2021, in Guadalajara, Jalisco, four people were shot and killed by at least six armed men who left in two cars in Polanco Park. 4 fatalities.",4,1614024988
440,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,MiMorelia,"On 17 February 2021, in Jalisco state (coded to Guadalajara), members of the 'Collective of Fathers and Mothers in Custody' protested to demand to see their children who are waiting for their trial. The protesters explained that since March 2020 the General Council of the Judiciary closed family spaces as a preventive measure against the coronavirus, preventing parents from seeing their children. [size=no report]",0,1614024988
442,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 17 February 2021, in Guadalajara, Jalisco, residents of Tototlan protested outside the Jalisco Congress to demand that local deputies destitute their Mayor who is being accused of sexual harassment against a city council worker. [size=no report]",0,1614024988
443,17-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"Around 17 February 2021 (as reported), in Guadalajara, Jalisco, a human leg was found half buried in Colonia Huentitan. Number of fatality unclear.",0,1614024988
574,15-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"Around 15 February 2021 (as reported), in Zapopan, Jalisco, a man was killed and his body was found tied hands and feet and covered with a tarpaulin in Colonia Lomas del Centinela. The body had a cadaveric evolution of approximately 8 hours. 1 fatality.",1,1614024988
655,13-Feb-21,2021,Violence against civilians,Attack,Police Forces of Mexico (2018-),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,24 Horas (Mexico); Hoy Tamaulipas,"On 13 February 2021, in Guadalajara, Jalisco, several traffic police officers took a man out of a car in Revolucion avenue and beat him with their hands and feet while he was not resisting. Seven other police officers arrived while the man was being beaten and did not intervene. The incident was recorded and circulated on social networks.",0,1614024988
686,13-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 13 February 2021, in Guadalajara, Jalisco, dozens of vehicles participated in a caravan of cars to protest against pro-abortion legislation. Members of the National Front for the Family participated in the demonstration. The protest was called nationwide. [size=dozens]",0,1614024988
729,12-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Metro Gdl,"On 12 February 2021, in Tonala, Jalisco, a man was shot dead by four armed individuals in Colonia Santa Paula (drive-by incident). Two of the perpetrators were in a car and the other two were on motorcycles. 1 fatality.",1,1614024988
736,12-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 12 February 2021, in Guadalajara, Jalisco, a group of mothers protested in front of Marco Antonio Montes de Oca elementary school to denounce the lack of sanctions against cases of sexual abuse that occurred at the school by three students. The protesters demanded to investigate the case and to sanction the teachers who were in charge of the abused girls. [size=no report]",0,1613423757
794,11-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Zeta Tijuana; Entorno Informativo,"On 11 February 2021, in Tlaquepaque, Jalisco, four men and a woman were shot dead and another woman was shot and injured in a house in Colonia Hidalgo. There is no information regarding the perpetrators. The house was an alleged warehouse for stolen cars and auto parts. 5 fatalities, 1 injure.",5,1613423757
796,11-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,La Silla Rota; Milenio,"Around 11 February 2021 (as reported), in Zapopan, Jalisco, an unknown number of people were killed and their dismembered remains were found in 18 bags near the Circuito JVC. One of the bags contained a leg. Unknown fatalities coded as 3.",3,1613423757
799,11-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"Around 11 February 2021 (as reported), in Zapopan, Jalisco, a person was killed and his/her burnt body was found in Colonia La Tijera. 1 fatality.",1,1613423757
803,11-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 11 February 2021, in Zapopan, Jalisco, a woman was shot dead by two armed individuals in a drive-by shooting in Colonia Mirador de la Canada. 1 fatality.",1,1613423757
863,10-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 10 February 2021, in Guadalajara, Jalisco, a man was shot and injured by two armed individuals in Colonia Ladron de Guevara. 1 injured.",0,1614024988
864,10-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Metro Gdl,"On 10 February 2021, in Tonala, Jalisco, a man and a woman were shot and injured in a drive-by incident in Colonia Alamedas de Zalatitan. 2 injured.",0,1614024988
882,10-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio; La Jornada,"On 10 February 2021, in Guadalajara, Jalisco, dozens of members of the collective United Families for Our Disappeared in Jalisco began an indefinite sit-in in front of the Jalisco Institute of Forensic Sciences to demand proper tests to identify the bodies segments. [size=dozens]",0,1613423757
934,9-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Hoy Tamaulipas,"Around 9 February 2021 (as reported), in Tonala, Jalisco, a man was killed and his body was found wrapped in a plastic tarps in Colonia La Cuchara. In social media it was reported that it could be a businessman who was kidnapped the day before and who owned restaurants and bars. 1 fatality.",1,1613423757
941,9-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 9 February 2021, in Guadalajara, Jalisco, members of the collective 'Por los Nuestro' marched from Plaza Republica to protest against the missing of their relatives. [size=no report]",0,1614024988
972,9-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 9 February 2021, in Guadalajara, Jalisco, students and members of the University Students' Federation demonstrated to demand to regulate the cost of oxygen tanks and their refilling in view of the increasing demand due to the coronavirus. The demonstrators also called for support for the most disadvantaged families to have access to oxygen tanks. [size=no report]",0,1613423757
1018,8-Feb-21,2021,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Hoy Tamaulipas; El Blog del Narco; Entorno Informativo; Diario de Morelos; La Prensa de Monclova; El Siglo de Durango,"On 8 February 2021, in Zapopan, Jalisco, around 10 to 15 armed men kidnapped a man in the restaurant 'Los Otates' in Colonia Puerta de Hierro. The bodyguards of the victim answered the attack trying to prevent the kidnapping which started a clash. Also, a police officer who was on his day off fired back in self-defense. One of the armed men was killed and two waiters and the police officer were injured. 1 fatality.",1,1613423757
1031,8-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"Around 8 February 2021 (as reported), in Zapopan, Jalisco, a man was killed and his body was found with his hands tied wrapped in a plastic bag in colonia Villas de la Primavera. 1 fatality.",1,1614024988
1048,8-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 8 February 2021, in Guadalajara, Jalisco, cyclists held a ride to protest against the wave of robberies and insecurity in the city. The protest also took place in front of the Government palace. [size=no report]",0,1613423757
1314,4-Feb-21,2021,Battles,Armed clash,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Zeta Tijuana; Hoy Tamaulipas; Antena San Luis,"On 4 February 2021, in Guadalajara, Jalisco, there was an armed clash between the National Guard and several armed men in Colonia Lazaro Cardenas until San Pedro Tlaquepaque. The armed men in a car shot at the police (drive-by). There was a car chase and the police fired back. Four armed men died and two police officers were injured. Weapons and grenades were seized. 4 fatalities.",4,1612814519
1348,3-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 3 February 2021, in Guadalajara, Jalisco, a young man was shot and killed while walking by armed men in a car (drive-by) in Colonia Atlas. 1 fatality.",1,1612814521
1406,2-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"Around 2 February 2021 (as reported), in Tonala municipality, Jalisco, two people were killed and their bodies were found with their hands and feet tied in an empty lot by the side of El Ocotillo dam. 2 fatalities.",2,1612814521
1410,2-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 2 February 2021, in Guadalajara, Jalisco, 50 lawyers protested outside the building of the state judicial power to demand for the reopening of courts which have been partly suspended since the beginning of the coronavirus pandemic. [size=50]",0,1612814521
1411,2-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 2 February 2021, in Guadalajara, Jalisco, a man who was a lawyer was shot and killed by armed men on a motorcycle around Vallarta avenue (drive-by). 1 fatality.",1,1612814521
1458,1-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"On 1 February 2021, in Tonala, Jalisco, a man was shot dead by two armed individuals in Colonia Coyula. 1 fatality.",1,1612814521
1459,1-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 1 February 2021, in Zapopan, Jalisco, a man was shot dead at a food stand by two armed individuals who arrived on a motorcycle in Colonia Paraisos del Colli. 1 fatality.",1,1612814521
1509,31-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"Around 31 January 2021 (as reported), in Guadalajara, Jalisco, a man was killed and his body was found with the so-called coup de grace in Colonia Heliodoro Hernandez Loza. 1 fatality.",1,1612814521
1565,30-Jan-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 30 January 2021, in Guadalajara, Jalisco, two people were abducted from a car wash in Colonia Mezquitan Country by four armed individuals.",0,1612814521
1576,30-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 30 January 2021, in Guadalajara, Jalisco, relatives and friends of a woman who disappeared on 20 December demonstrated on Lopez Mateos Avenue and Mexico Avenue to demand justice. The demonstrators denounced the lack of progress made by the Special Prosecutor's Office for Missing Persons of the State of Jalisco in the investigation of the case. [size=no report]",0,1612814521
1585,30-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,La Jornada,"Around 30 January 2021 (as reported), in Zapopan, Jalisco, an unknown number of people were killed and their remains were found in 3 bags in Colonia Lomas de La Primavera. Unknown fatalities coded as 3.",3,1612814520
1693,29-Jan-21,2021,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Hoy Tamaulipas; La Jornada,"On 29 January 2021, in Guadalajara, Jalisco, an armed clash between two groups of armed individuals was reported in Colonia 18 de Marzo. Four men and a woman died and another man was injured.",5,1612814519
1791,27-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Metro Gdl,"Around 27 January 2021 (as reported), in Zapopan, Jalisco, a person was killed and his/her body was found wrapped in a bag in Colonia La Palmira. 1 fatality.",1,1612814521
1819,27-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Hoy Tamaulipas,"On 27 January 2021, in Tonala, Jalisco, a man was shot dead, a woman was shot and injured and two underage people were shot and injured by several armed individuals in Colonia Pinar de las Palomas. 1 fatality, 3 injured.",1,1612548681
1842,27-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,La Verdad; La Silla Rota,"Around 27 January 2021 (as reported), in Zapopan, Jalisco, an unknown number of people were killed and their remains were found in at least 10 plastic bags in Colonia Lomas de la Primavera. One of the bags contained a human torso. Unknown fatalities coded as 3.",3,1612548681
1894,26-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 26 January 2021, in Guadalajara, Jalisco, former workers of the extinct Metropolitan Area Collective Transportation System (Sistema de Transporte Colectivo de la Zona Metropolitana) demonstrated to demand the payment of their full severance indemnities. [size=no report]",0,1612548681
1941,25-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"Around 25 January 2021 (as reported), in Guadalajara, Jalisco, a man was killed and his tied body was found wrapped in a blanket and covered with a tarp in Colonia Alcalde. 1 fatality.",1,1612814521
1965,25-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 25 January 2021, in Zapopan, Jalisco, a man was shot and killed by two armed men. 1 fatality.",1,1612548681
1966,25-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"Around 25 January 2021 (as reported), in Tonala, Jalisco, a person was killed and the body was found dismembered inside a pot in Colonia Mision de los Vinedos. 1 fatality.",1,1612548681
1984,25-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Metro Gdl; Milenio,"On 25 January 2021, in Zapopan, Jalisco, a man was shot and killed by two armed men. Also, another man was shot and injured by two armed men in Colonia Atemajac del Valle. 1 fatality, 1 injured.",1,1612814519
2040,24-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 24 January 2021, in Guadalajara, Jalisco, a man was shot and killed in Colonia San Juan Bosco. The victim was a municipal police officer on his day-off. 1 fatality.",1,1612548681
2162,22-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 22 January 2021, in Guadalajara, Jalisco, pool owners, swimmers and people who require medical rehabilitation protested outside Casa Jalisco to demand that the reopening of pools. [size=no report]",0,1612548681
2278,21-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 21 January 2021, in Guadalajara, Jalisco, dozens of lawyers protested outside the Judicial City against the restrictions imposed in the Supreme Court of Justice. The protesters demanded the courts to be open as they had been closed due to the coronavirus pandemic. [size=dozens]",0,1612548681
2455,18-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 18 January 2021, in Guadalajara, Jalisco, owners of gyms protested in front of the government palace to demand the reopening of businesses following coronavirus measures. [size=no report]",0,1612548681
2613,17-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"On 17 January 2021, in Tlaquepaque, Jalisco, two men were shot dead by several armed individuals in their house in Colonia Centro. 2 fatalities.",2,1612548681
2618,17-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Diario de Morelos,"On 17 January 2021, in the state of Jalisco (coded to Guadalajara), a group of people participated in a nationwide bicycle ride to demand justice for the death of a cyclist who was run over in Merida. [size=no report]",0,1612548681
2708,16-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 16 January 2021, in Guadalajara, Jalisco, two men were shot and injured in a drive-by incident in Colonia La Esperanza. No fatalities, 2 injured.",0,1612548682
2711,16-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"Around 16 January 2021 (weekend of), in Guadalajara, Jalisco, members of a gym owners union in the state of Jalisco demonstrated against the closure of their businesses. The state decreed the closure of certain businesses, including gyms, as a measure to prevent the spread of the coronavirus. [size=no report]",0,1612548682
2712,16-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 16 January 2021, in Guadalajara, Jalisco, relatives and friends of a man who disappeared on 9 January demonstrated with candles to demand information about the missing man and progress in the investigation of the case. [size=no report]",0,1612548682
2835,14-Jan-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Pagina 24 Jalisco,"On 14 January 2021, in Zapopan, Jalisco, three men were abducted by four hooded individuals who forced them into a pick-up truck in Colonia Jardines del Valle. According to family members, the kidnappers were allegedly members of the Jalisco Prosecutor's Office.",0,1612548682
3060,11-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 11 January 2021 (as reported), in Tlaquepaque, Jalisco, a man was killed and his body was found tied hands and feet and wrapped in blankets in Colonia Lopez Cotilla. 1 fatality.",1,1612548682
3061,11-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 11 January 2021, in Guadalajara, Jalisco, relatives and friends of a woman who disappeared on 20 December demonstrated to demand answers and the investigation of the case. [size=no report]",0,1612548682
3165,10-Jan-21,2021,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 10 January 2021, in Zapopan, Jalisco, a man was shot dead in Colonia Jardines del Valle by two armed men who fled in a car with their accomplice. The victim had three outstanding arrest warrants for participating in organized crime. 1 fatality.",1,1612548682
3336,8-Jan-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Metro Gdl,"On 8 January 2021, in Tonala, Jalisco, two men were shot and injured by two armed individuals in a drive-by incident in Colonia Educadores Jaliscienses. 2 injured.",0,1612548682
3367,7-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 7 January 2021, in Guadalajara, Jalisco, around 300 merchants and street vendors from the metropolitan area protested outside the Government Palace against restrictive coronavirus measures preventing them from working. [size=around 300]",0,1612548682
3373,7-Jan-21,2021,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Pagina 24 Jalisco,"On 7 January 2021, in Zapopan, Jalisco, three men attacked two policemen who were conducting a security check at a bank branch in Colonia El Vigia. Some versions point out that the policemen tried to rob civilians. Two of the men were arrested and one policeman was injured.",0,1612548682
3701,4-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Pagina 24 Jalisco,"Around 4 January 2021 (as reported), near Zapopan, Jalisco, a man was killed and his body was found with signs of torture at the height of Balneario Los Camachos on the road going to Saltillo. 1 fatality.",1,1612548682
3791,3-Jan-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Metro Gdl,"Around 3 January 2021 (as reported), in Zapopan, Jalisco, two men were shot dead by more than ten armed men in Colonia Vicente Guerrero. 2 fatalities.",2,1612548682
3848,2-Jan-21,2021,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,El Blog del Narco,"On 2 January 2021, in Tlaquepaque, Jalisco, an investigative police officer was shot and died while he was driving on the highway to Chapala, close to the hotel El Tapatio. 1 fatality.",1,1612548683
3853,2-Jan-21,2021,Violence against civilians,Attack,CJNG: Jalisco New Generation Cartel,Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,El Norte,"On 2 January 2021, in Tlaquepaque, Jalisco, three members of the CJNG: Jalisco New Generation Cartel attacked a home and killed three men and injured two in Colonia Francisco. The suspects then fled in a car and have not been caught.",3,1612548683
3886,1-Jan-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 1 January 2021, in Guadalajara, Jalisco, women members of the parity movement demonstrated in front of the different political party headquarters and placed candles to demand gender parity in the next electoral process. [size=no report]",0,1612548683
3926,31-Dec-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 31 December 2020, in Guadalajara, Jalisco, in the early hours of the morning, three men pulled a man out of a vehicle and threw him into a 20-meter gap in an abandoned construction site. The man died. 1 fatality.",1,1612548683
3931,31-Dec-20,2020,Battles,Armed clash,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio; Pagina 24 Jalisco,"On 31 December 2020, in Tlaquepaque, Jalisco, a male officer from the Jalisco State Prosecutor's Office was shot dead near El Tapatio hotel on the road going to Chapala. 1 fatality.",1,1612548683
3998,29-Dec-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Quadratin Oaxaca,"Around 29 December 2020 (as reported), in Guadalajara, Jalisco, a woman was killed and the body was found dismembered inside a suitcase with a message by the side in colonia Colon Industrial. 1 fatality.",1,1612548683
4044,28-Dec-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Jornada; Pagina 24 Jalisco,"On 28 December 2020, in Guadalajara, Jalisco, two men and a woman were shot and killed in colonia Lazaro Cardenas. According to the investigations, the perpetrators were several people. 3 fatalities.",3,1612548683
4049,28-Dec-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Jornada,"Around 28 December 2020 (as reported), in Guadalajara, Jalisco, a woman was killed and the body was found with her hands tied and wrapped in black plastic bags in Colonia Sutag. 1 fatality.",1,1612548683
