data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
23784,18-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 18 June 2020, in Guadalajara, Jalisco, there was a demonstration to denounce the police action during a demonstration on June 5 and to demand the resignation of the prosecutor and the state governor. [size=no report]",0,1612548703
23927,17-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 17 June 2020, in Guadalajara, Jalisco, a man was shot and injured by four armed individuals in Colonia Rio Verde. 1 injured",0,1612548704
24147,15-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco; El Norte,"On 15 June 2020, in Guadalajara, Jalisco, a group of more than 10 police officers protested demanding the governor not to criminalize their actions after the demonstrations that have claimed justice for people that have been killed by some police officers. [size=more than 10]",0,1612548704
24347,14-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 14 June 2020, in Guadalajara, Jalisco, a group of people protested claiming justice for the case of Giovanni Lopez and other victims of police abuse. Also, the participants protested against the state's governor. [size=no report]",0,1612548704
24718,13-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Prensa de Monclova,"On 13 June 2020, in Guadalajara, Jalisco, a group of people participated in a caravan to protest against the government of President Lopez Obrador and demanded his resignation. The demonstration was led by members of the movement National Front against AMLO. [size=no report]",0,1612548704
24744,13-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Metro Gdl,"Around 13 June 2020 (as reported), in Tlaquepaque, Jalisco, two men were shot by two hooded individuals in Colonia Miravalle. 1 fatality, 1 injured",1,1612548704
24747,13-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Metro Gdl,"Around 13 June 2020 (as reported), in Tonala, Jalisco, a man and a woman were shot and injured by four armed men in Colonia Loma Bonita. 4 injured",0,1612548704
25034,12-Jun-20,2020,Strategic developments,Other,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Imagen del Golfo,"On 12 June 2020, in Tlaquepaque, Jalisco, the authorities found a mass grave in Colonia Popular Santa Anita where, until the last report on 2 July, 86 plastic bags that contained dismembered human remains were found.",0,1612548704
25048,12-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"Around 12 June 2020 (as reported), in Guadalajara, Jalisco, street market traders held a march requesting to be allowed to resume their activities which were suspended as a measure to prevent the spread of the coronavirus. [size=no report]",0,1612548704
25099,12-Jun-20,2020,Strategic developments,Other,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Sintesis,"Around 12 June 2020 (between 12 June - 13 June), in Tlaquepaque, Jalisco, a mass grave that contained 36 bags with human remains was found in Colonia Santa Anita.",0,1612548704
25361,11-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Pagina 24 Jalisco,"On 11 June 2020, in Zapopan, Jalisco, a bicycle path construction project was the source of a demonstration in which some people were in favour of the project and others were asking for changes in it. [size=no report]",0,1612548704
25375,11-Jun-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,El Proceso,"Around 11 June 2020 (as reported), in Zapopan, Jalisco, an undetermined number of people were killed and their human remains were found inside two blue barrels in Colonia Las Agujas. The barrels were taken out of a canal and an arm and a torso were visible. Unknown fatalities coded as 3.",3,1612548704
25582,10-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 10 June 2020, in Guadalajara, Jalisco, a man was shot dead by two armed individuals in Colonia Los Arrayanes. 1 fatality",1,1612548704
25588,10-Jun-20,2020,Strategic developments,Other,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Sintesis; Milenio,"Around 10 June 2020 (between 07 June - 13 June), in Zapopan, Jalisco, a mass grave that contained 39 bags with human remains was found in Colonia La Higuera.",0,1612548704
25762,9-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,El Universal (Mexico),"On 9 June 2020, in Guadalajara, Jalisco, around 500 students protested claiming justice for the case of Giovanni Lopez and other cases of police abuse. [size=around 500]",0,1612548705
25939,8-Jun-20,2020,Strategic developments,Other,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Imagen del Golfo,"On 8 June 2020, in Zapopan, Jalisco, the authorities found a mass grave in Colonia La Higuera where, since the last report on 2 July, 50 plastic bags that contained dismembered human remains were found.",0,1612548705
25947,8-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,24 Horas (Mexico); Pagina 24 Jalisco,"On 8 June 2020, in Guadalajara, Jalisco, around 30 people protested outside the state's attorney office claiming justice for two police officers who were arrested after having been accused of arbitrary detentions during a protest. [size=around 30]",0,1612548705
25972,8-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 8 June 2020, in Guadalajara, Jalisco, lawyers, judges, and other workers of the judicial system protested demanding the re-activation of the offices that have suspended all the activities since the coronavirus pandemic was announced in the country. [size=no report]",0,1612548705
25982,8-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 8 June 2020, in Zapopan, Jalisco, two armed men attacked a man and a woman who were driving a vehicle. The woman died and the man was injured. 1 fatality and 1 injured.",1,1612548705
27166,6-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 6 June 2020, in Guadalajara, Jalisco, a group of people protested for the third consecutive day, claiming justice for the cases of Giovanni Lopez and for the people who were injured during the protests of the previous days. The participants rejected the abuses of police officers. [size=no report]",0,1612548705
27822,5-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Silla Rota,"On 5 June 2020, in Guadalajara, Jalisco, a group of people protested for the second consecutive day, claiming justice for the cases of Giovanni Lopez and for the people who were injured during the protests of the previous days. The participants rejected the abuses of police officers. [size=no report]",0,1612548705
27851,5-Jun-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"Around 5 June 2020 (as reported), in Guadalajara, Jalisco, a man was killed and his body was found wrapped in plastic bags in Colonia Heliodoro Hernandez. 1 fatality.",1,1612548705
27940,4-Jun-20,2020,Riots,Violent demonstration,Rioters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco; Milenio,"On 4 June 2020, in Guadalajara, Jalisco, nearly 2000 people gathered outside the Government Palace rejecting the police abuse and claiming justice for the case of Giovanni Lopez who was attacked by officers who arrested him. The participants destroyed part of the building and set a police officer and two police patrols on fire. One officer was injured and 26 participants were arrested. 1 injured. [size=nearly 2000]",0,1612548705
28379,4-Jun-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"On 4 June 2020, in Tonala, Jalisco, a group of art-craft makers protested demanding permits to install their stalls rejecting the suspension of activities caused by the coronavirus pandemic. [size=no report]",0,1612548705
