data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
13913,7-Sep-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Crowd Counting Consortium; Brooklyn Paper,"On 7 September 2020, more than 100 people staged a protest outside City Council Speaker in New York-Manhattan (New York) against the plan to rezone and redevelop Industry City in Sunset Park arguing that redevelopment will increase the rents and price of the place. [size=more than 100]",0,1612546501
14233,4-Sep-20,2020,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter; NABPP: New Afrikan Black Panther Party; RAM: Revolutionary Abolitionist Movement; African American Group (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,New York Post,"On 4 September 2020, about 150 Black Lives Matter demonstrators, including members of the New Afrikan Black Panther Party and the Revolutionary Abolitionist Movement, gathered in New York-Manhattan (New York) in support of the BLM movement and against police brutality. The demonstrators smashed windows and vandalized the storefronts of Lower Manhattan chain stores and banks. Eight people were arrested. [size=about 150]",0,1612546446
14311,3-Sep-20,2020,Protests,Excessive force against protesters,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,NPR; CNN,"On 3 September 2020, around 200 people gathered in Times Square in New York-Manhattan (New York) in support of the Black Lives Matter movement and against the death of Daniel Prude. A driver rammed into some of the protesters, hitting people on bicycles and on foot. [size=around 200] [car ramming]",0,1612546446
14485,1-Sep-20,2020,Protests,Peaceful protest,Protesters (United States),Teachers (United States),United States,New York,New York,New York City,40.7142,-74.0059,Gothamist; Crowd Counting Consortium,"On 1 September 2020, teachers staged a protest in New York City (New York) to demand that schools remain closed to in-person learning amid the coronavirus pandemic. [size=no report] [schools]",0,1612546498
14510,1-Sep-20,2020,Protests,Peaceful protest,Protesters (United States),Cancel the Rents Movement,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,News 12,"On 1 September 2020, people gathered in New York-Bronx (New York) to demand an extension of the eviction moratorium, which is set to expire October 1. Protesters claimed that because of the coronavirus pandemic, people are less likely to be able to pay rent and will need time to find new housing. [size=no report]",0,1612546446
14642,31-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Government of the United States (2017-2021),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,AM New York,"On 31 August 2020, government officials, including state senators and assembly members, held a rally outside of the post office in New York-Manhattan (New York) to protest recent changes made to USPS policy that they fear may impact mail-in votes in the 2020 Presidential Election. [size=no report]",0,1612546446
14823,29-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York City,40.7142,-74.0059,J. The Jewish News of Northern California,"On 29 August 2020, people gathered in New York City (New York) to demand the resignation of Israeli Prime Minister Benjamin Netanyahu. The protesters consider Netanyahu to be an undemocratic leader. [size=no report]",0,1612546446
14824,29-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,PIX11,"On 29 August 2020, people gathered in New York-Manhattan (New York) to show support for a program that recently put over 700 homeless men into local luxury hotels. [size=no report]",0,1612546446
15006,28-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York City,40.7142,-74.0059,PIX11,"On 28 August 2020, people gathered in New York City (New York) in support of legislation that would allow tenants to renegotiate their contracts with landlords amidst the restrictions put in place due to the ongoing coronavirus pandemic. [size=no report]",0,1612546445
15007,28-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York),"On 28 August 2020, hundreds of people gathered in New York-Manhattan (New York) in support of the Black Lives Matter movement and against police brutality and the deaths of George Floyd, Breonna Taylor, and Jacob Blake. [size=hundreds]",0,1612546445
